Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
0, 0.016984, 345.000, 1.125, -28473, 13362, 00000000, 354.7199440956116
1, 0.048172, 345.000, 2.251, -28473, 13362, 00000000, 354.195703125
2, 0.079335, 345.000, 3.377, -28473, 13362, 00000000, 354.195703125
3, 0.110655, 345.000, 4.500, -28472, 13363, 00000000, 354.195703125
4, 0.141758, 345.325, 5.626, -28471, 13361, 00000000, 354.195703125
5, 0.173137, 345.976, 6.751, -28468, 13358, 00000000, 354.195703125
6, 0.204135, 346.843, 7.876, -28464, 13354, 00000000, 354.195703125
7, 0.235572, 347.818, 8.999, -28460, 13349, 00000000, 354.195703125
8, 0.266825, 348.685, 10.125, -28456, 13345, 00000000, 354.195703125
9, 0.297964, 349.552, -348.749, -28452, 13341, 00000000, 354.195703125
10, 0.329268, 350.528, -347.626, -28448, 13336, 00000000, 354.195703125
11, 0.360535, 351.287, -346.499, -28444, 13333, 00000000, 354.195703125
12, 0.391701, 351.937, -345.374, -28441, 13330, 00000000, 354.195703125
13, 0.422910, 352.479, -344.250, -28439, 13327, 00000000, 354.195703125
14, 0.454007, 353.021, -343.123, -28436, 13325, 00000000, 354.195703125
15, 0.485366, 353.346, -342.000, -28435, 13323, 00000000, 354.195703125
16, 0.516608, 353.671, -340.874, -28433, 13322, 00000000, 354.195703125
17, 0.547852, 354.105, -339.752, -28431, 13320, 00000000, 354.195703125
18, 0.579151, 354.430, -338.624, -28430, 13318, 00000000, 354.195703125
19, 0.610242, 354.538, -337.501, -28429, 13318, 00000000, 354.195703125
20, 0.641522, 354.538, -336.373, -28429, 13318, 00000000, 354.195703125
21, 0.672787, 354.538, -335.252, -28429, 13318, 00000000, 354.195703125
22, 0.703817, 354.538, -334.126, -28429, 13318, 00000000, 354.195703125
23, 0.735251, 354.538, -333.002, -28429, 13318, 00000000, 354.195703125
24, 0.766422, 354.538, -331.877, -28429, 13318, 00000000, 354.195703125
25, 0.797704, 354.538, -330.751, -28429, 13318, 00000000, 354.195703125
26, 0.828865, 354.538, -329.624, -28429, 13318, 00000000, 354.195703125
27, 0.860038, 354.538, -328.502, -28429, 13318, 00000000, 354.195703125
28, 0.891408, 354.538, -327.374, -28429, 13318, 00000000, 354.195703125
29, 0.922666, 354.538, -326.249, -28429, 13318, 00000000, 354.195703125
30, 0.953693, 354.538, -325.126, -28429, 13318, 00000000, 354.195703125
31, 0.985076, 354.538, -324.000, -28429, 13318, 00000000, 354.195703125
32, 1.016166, 354.538, -322.877, -28429, 13318, 00000000, 354.195703125
33, 1.047592, 354.538, -321.752, -28429, 13318, 00000000, 354.195703125
34, 1.078800, 354.538, -320.627, -28429, 13318, 00000000, 354.195703125
35, 1.109865, 354.538, -319.500, -28429, 13318, 00000000, 354.195703125
36, 1.141281, 354.538, -318.373, -28429, 13318, 00000000, 354.195703125
37, 1.172417, 354.538, -317.249, -28429, 13318, 00000000, 354.195703125
38, 1.203655, 354.538, -316.125, -28429, 13318, 00000000, 354.195703125
39, 1.234920, 354.538, -315.000, -28429, 13318, 00000000, 354.195703125
40, 1.266049, 354.538, -313.876, -28429, 13318, 00000000, 354.195703125
41, 1.297424, 354.538, -312.750, -28429, 13318, 00000000, 354.195703125
42, 1.328592, 354.538, -311.627, -28429, 13318, 00000000, 354.195703125
43, 1.359697, 354.538, -310.502, -28429, 13318, 00000000, 354.195703125
44, 1.391111, 354.538, -309.375, -28429, 13318, 00000000, 354.195703125
45, 1.422136, 354.538, -308.251, -28429, 13318, 00000000, 354.195703125
46, 1.453505, 354.538, -307.124, -28429, 13318, 00000000, 354.195703125
47, 1.484810, 354.538, -305.998, -28429, 13318, 00000000, 354.195703125
48, 1.515801, 354.538, -304.876, -28429, 13318, 00000000, 354.195703125
49, 1.547242, 354.538, -303.750, -28429, 13318, 00000000, 354.195703125
50, 1.578559, 354.538, -302.624, -28429, 13318, 00000000, 354.195703125
51, 1.609681, 354.538, -301.500, -28429, 13318, 00000000, 354.195703125
52, 1.640958, 354.538, -300.376, -28429, 13318, 00000000, 354.195703125
53, 1.671998, 354.538, -299.251, -28429, 13318, 00000000, 354.195703125
54, 1.703396, 354.538, -298.126, -28429, 13318, 00000000, 354.195703125
55, 1.734641, 354.538, -297.000, -28429, 13318, 00000000, 354.195703125
56, 1.765756, 354.538, -295.874, -28429, 13318, 00000000, 354.195703125
57, 1.797120, 354.538, -294.750, -28429, 13318, 00000000, 354.195703125
58, 1.828177, 354.538, -293.628, -28429, 13318, 00000000, 354.195703125
59, 1.859568, 354.538, -292.501, -28429, 13318, 00000000, 354.195703125
60, 1.906282, 354.538, -291.293, -28429, 13318, 00000000, 354.195703125
61, 1.921830, 354.538, -290.249, -28429, 13318, 00000000, 354.195703125
