Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
0, 0.029907, 30.000, 1.154, 8007, -7667, 00000000, 30.0
1, 0.060808, 30.000, 2.272, 8007, -7667, 00000000, 30.0
2, 0.092228, 30.000, 3.390, 8007, -7667, 00000000, 30.0
3, 0.123295, 30.000, 4.511, 8007, -7667, 00000000, 30.0
4, 0.154639, 30.000, 5.639, 8007, -7667, 00000000, 30.0
5, 0.185886, 30.000, 6.763, 8007, -7667, 00000000, 30.0
6, 0.217003, 30.000, 7.888, 8007, -7667, 00000000, 30.0
7, 0.248432, 30.000, 9.018, 8007, -7667, 00000000, 30.0
8, 0.279629, 30.000, 10.136, 8007, -7667, 00000000, 30.0
9, 0.310840, 30.000, 11.266, 8007, -7667, 00000000, 30.0
10, 0.342085, 30.000, 12.391, 8007, -7667, 00000000, 30.0
11, 0.373296, 30.000, 13.508, 8007, -7667, 00000000, 30.0
12, 0.404585, 30.000, 14.633, 8007, -7667, 00000000, 30.0
13, 0.435749, 30.000, 15.758, 8007, -7667, 00000000, 30.0
14, 0.466815, 30.000, 16.883, 8007, -7667, 00000000, 30.0
15, 0.498259, 30.000, 18.012, 8007, -7667, 00000000, 30.0
16, 0.529351, 30.000, 19.130, 8007, -7667, 00000000, 30.0
17, 0.560732, 30.000, 20.254, 8007, -7667, 00000000, 30.0
18, 0.591918, 30.000, 21.385, 8007, -7667, 00000000, 30.0
19, 0.623161, 30.000, 22.503, 8007, -7667, 00000000, 30.0
20, 0.654360, 30.000, 23.628, 8007, -7667, 00000000, 30.0
21, 0.685636, 30.000, 24.753, 8007, -7667, 00000000, 30.0
22, 0.716854, 30.000, 25.883, 8007, -7667, 00000000, 30.0
23, 0.748147, 30.000, 27.007, 8007, -7667, 00000000, 30.0
24, 0.779195, 30.000, 28.126, 8007, -7667, 00000000, 30.0
25, 0.810514, 30.000, 29.250, 8007, -7667, 00000000, 30.0
26, 0.841818, 30.000, 30.374, 8007, -7667, 00000000, 30.0
27, 0.872909, 30.000, 31.502, 8007, -7667, 00000000, 30.0
28, 0.904286, 30.000, 32.629, 8007, -7667, 00000000, 30.0
29, 0.935328, 30.000, 33.751, 8007, -7667, 00000000, 30.0
30, 0.966710, 30.000, 34.877, 8007, -7667, 00000000, 30.0
31, 0.998010, 30.000, 36.002, 8007, -7667, 00000000, 30.0
32, 1.029018, 30.000, 37.124, 8007, -7667, 00000000, 30.0
33, 1.060358, 30.000, 38.249, 8007, -7667, 00000000, 30.0
34, 1.091650, 30.000, 39.377, 8007, -7667, 00000000, 30.0
35, 1.122748, 30.000, 40.498, 8007, -7667, 00000000, 30.0
36, 1.154101, 30.000, 41.627, 8007, -7667, 00000000, 30.0
37, 1.185160, 30.000, 42.749, 8007, -7667, 00000000, 30.0
38, 1.216540, 30.000, 43.876, 8007, -7667, 00000000, 30.0
39, 1.247749, 30.000, 44.998, 8007, -7667, 00000000, 30.0
40, 1.278911, 30.000, 46.124, 8007, -7667, 00000000, 30.0
41, 1.310314, 30.000, 47.252, 8007, -7667, 00000000, 30.0
42, 1.341555, 30.000, 48.374, 8007, -7667, 00000000, 30.0
43, 1.372709, 30.000, 49.499, 8007, -7667, 00000000, 30.0
44, 1.403971, 30.000, 50.624, 8007, -7667, 00000000, 30.0
45, 1.435001, 30.000, 51.752, 8007, -7667, 00000000, 30.0
46, 1.466513, 30.000, 52.876, 8007, -7667, 00000000, 30.0
47, 1.497622, 30.000, 54.001, 8007, -7667, 00000000, 30.0
48, 1.528693, 30.000, 55.173, 8007, -7667, 00000000, 30.0
49, 1.560080, 30.000, 56.251, 8007, -7667, 00000000, 30.0
50, 1.591298, 30.000, 57.374, 8007, -7667, 00000000, 30.0
51, 1.622601, 30.000, 58.501, 8007, -7667, 00000000, 30.0
52, 1.653822, 30.000, 59.623, 8007, -7667, 00000000, 30.0
53, 1.684923, 30.000, 60.752, 8007, -7667, 00000000, 30.0
54, 1.716253, 30.000, 61.874, 8007, -7667, 00000000, 30.0
55, 1.747508, 30.000, 62.998, 8007, -7667, 00000000, 30.0
56, 1.778762, 30.000, 64.126, 8007, -7667, 00000000, 30.0
57, 1.809936, 30.000, 65.252, 8007, -7667, 00000000, 30.0
58, 1.841068, 30.000, 66.377, 8007, -7667, 00000000, 30.0
59, 1.872493, 30.000, 67.501, 8007, -7667, 00000000, 30.0
60, 1.903719, 30.000, 68.625, 8007, -7667, 00000000, 30.0
61, 1.934685, 30.000, 69.751, 8007, -7667, 00000000, 30.0
62, 1.966184, 30.000, 70.874, 8007, -7667, 00000000, 30.0
63, 1.997394, 30.000, 72.000, 8007, -7667, 00000000, 30.0
64, 2.028787, 30.000, 73.125, 8007, -7667, 00000000, 30.0
65, 2.059776, 30.000, 74.251, 8007, -7667, 00000000, 30.0
66, 2.090892, 30.000, 75.376, 8007, -7667, 00000000, 30.0
67, 2.122306, 30.000, 76.502, 8007, -7667, 00000000, 30.0
68, 2.153575, 30.000, 77.626, 8007, -7667, 00000000, 30.0
69, 2.184767, 30.000, 78.751, 8007, -7667, 00000000, 30.0
70, 2.215946, 30.000, 79.874, 8007, -7667, 00000000, 30.0
71, 2.247081, 30.000, 81.002, 8007, -7667, 00000000, 30.0
72, 2.278466, 30.000, 82.124, 8007, -7667, 00000000, 30.0
73, 2.309646, 30.000, 83.250, 8007, -7667, 00000000, 30.0
74, 2.340701, 30.000, 84.375, 8007, -7667, 00000000, 30.0
75, 2.372142, 30.000, 85.499, 8007, -7667, 00000000, 30.0
76, 2.403211, 30.000, 86.624, 8007, -7667, 00000000, 30.0
77, 2.434653, 30.000, 87.751, 8007, -7667, 00000000, 30.0
78, 2.465783, 30.000, 88.877, 8007, -7667, 00000000, 30.0
79, 2.496858, 30.000, 90.002, 8007, -7667, 00000000, 30.0
80, 2.528259, 30.000, 91.126, 8007, -7667, 00000000, 30.0
81, 2.559514, 30.000, 92.250, 8007, -7667, 00000000, 30.0
82, 2.590765, 30.000, 93.374, 8007, -7667, 00000000, 30.0
83, 2.621974, 30.000, 94.501, 8007, -7667, 00000000, 30.0
84, 2.653044, 30.000, 95.626, 8007, -7667, 00000000, 30.0
85, 2.684445, 30.000, 96.749, 8007, -7667, 00000000, 30.0
86, 2.715665, 30.000, 97.875, 8007, -7667, 00000000, 30.0
87, 2.746721, 30.000, 99.001, 8007, -7667, 00000000, 30.0
88, 2.778172, 30.000, 100.127, 8007, -7667, 00000000, 30.0
89, 2.809182, 30.000, 101.251, 8007, -7667, 00000000, 30.0
90, 2.840628, 30.000, 102.376, 8007, -7667, 00000000, 30.0
91, 2.871837, 30.000, 103.502, 8007, -7667, 00000000, 30.0
92, 2.902923, 30.000, 104.624, 8007, -7667, 00000000, 30.0
93, 2.934304, 30.000, 105.752, 8007, -7667, 00000000, 30.0
94, 2.965550, 30.000, 106.875, 8007, -7667, 00000000, 30.0
95, 2.996758, 30.000, 108.001, 8007, -7667, 00000000, 30.0
96, 3.027960, 30.000, 109.222, 8007, -7667, 00000000, 30.0
97, 3.059056, 30.000, 110.249, 8007, -7667, 00000000, 30.0
98, 3.090419, 30.000, 111.375, 8007, -7667, 00000000, 30.0
99, 3.121687, 30.000, 112.502, 8007, -7667, 00000000, 30.0
100, 3.152751, 30.000, 113.626, 8007, -7667, 00000000, 30.0
101, 3.184229, 30.000, 114.749, 8007, -7667, 00000000, 30.0
102, 3.215284, 30.000, 115.877, 8007, -7667, 00000000, 30.0
103, 3.246633, 30.000, 116.999, 8007, -7667, 00000000, 30.0
104, 3.277889, 30.000, 118.125, 8007, -7667, 00000000, 30.0
105, 3.308885, 30.000, 119.249, 8007, -7667, 00000000, 30.0
106, 3.340283, 30.000, 120.377, 8007, -7667, 00000000, 30.0
107, 3.371623, 30.000, 121.499, 8007, -7667, 00000000, 30.0
108, 3.402816, 30.000, 122.625, 8007, -7667, 00000000, 30.0
109, 3.433853, 30.000, 123.749, 8007, -7667, 00000000, 30.0
110, 3.465066, 30.000, 124.874, 8007, -7667, 00000000, 30.0
111, 3.496504, 30.000, 126.001, 8007, -7667, 00000000, 30.0
112, 3.527669, 30.000, 127.125, 8007, -7667, 00000000, 30.0
113, 3.558754, 30.000, 128.252, 8007, -7667, 00000000, 30.0
114, 3.590147, 30.000, 129.374, 8007, -7667, 00000000, 30.0
115, 3.621357, 30.000, 130.500, 8007, -7667, 00000000, 30.0
116, 3.652672, 30.000, 131.625, 8007, -7667, 00000000, 30.0
117, 3.683832, 30.000, 132.749, 8007, -7667, 00000000, 30.0
118, 3.714879, 30.000, 133.875, 8007, -7667, 00000000, 30.0
119, 3.746352, 30.000, 135.000, 8007, -7667, 00000000, 30.0
120, 3.777578, 30.000, 136.125, 8007, -7667, 00000000, 30.0
121, 3.808809, 30.000, 137.251, 8007, -7667, 00000000, 30.0
122, 3.839999, 30.000, 138.376, 8007, -7667, 00000000, 30.0
123, 3.871105, 30.000, 139.499, 8007, -7667, 00000000, 30.0
124, 3.902520, 30.000, 140.624, 8007, -7667, 00000000, 30.0
125, 3.933761, 30.000, 141.749, 8007, -7667, 00000000, 30.0
126, 3.964753, 30.000, 142.875, 8007, -7667, 00000000, 30.0
127, 3.996129, 30.000, 144.001, 8007, -7667, 00000000, 30.0
128, 4.027199, 30.000, 145.126, 8007, -7667, 00000000, 30.0
129, 4.058679, 30.000, 146.251, 8007, -7667, 00000000, 30.0
130, 4.089842, 30.000, 147.375, 8007, -7667, 00000000, 30.0
131, 4.120977, 30.000, 148.499, 8007, -7667, 00000000, 30.0
132, 4.152345, 30.000, 149.626, 8007, -7667, 00000000, 30.0
133, 4.183574, 30.000, 150.749, 8007, -7667, 00000000, 30.0
134, 4.214774, 30.000, 151.877, 8007, -7667, 00000000, 30.0
135, 4.246091, 30.000, 153.001, 8007, -7667, 00000000, 30.0
136, 4.277102, 30.000, 154.127, 8007, -7667, 00000000, 30.0
137, 4.308585, 30.000, 155.249, 8007, -7667, 00000000, 30.0
138, 4.339716, 30.000, 156.375, 8007, -7667, 00000000, 30.0
139, 4.370804, 30.000, 157.499, 8007, -7667, 00000000, 30.0
140, 4.402161, 30.000, 158.626, 8007, -7667, 00000000, 30.0
141, 4.433307, 30.000, 159.752, 8007, -7667, 00000000, 30.0
142, 4.464626, 30.000, 160.875, 8007, -7667, 00000000, 30.0
143, 4.495915, 30.000, 162.000, 8007, -7667, 00000000, 30.0
144, 4.526965, 30.000, 163.126, 8007, -7667, 00000000, 30.0
145, 4.558325, 30.000, 164.251, 8007, -7667, 00000000, 30.0
146, 4.589528, 30.000, 165.374, 8007, -7667, 00000000, 30.0
147, 4.620760, 30.000, 166.502, 8007, -7667, 00000000, 30.0
148, 4.652025, 30.000, 167.625, 8007, -7667, 00000000, 30.0
149, 4.683307, 30.000, 168.750, 8007, -7667, 00000000, 30.0
150, 4.714538, 30.000, 169.874, 8007, -7667, 00000000, 30.0
151, 4.745727, 30.000, 171.002, 8007, -7667, 00000000, 30.0
152, 4.776865, 30.000, 172.125, 8007, -7667, 00000000, 30.0
153, 4.808179, 30.000, 173.249, 8007, -7667, 00000000, 30.0
