Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
68, 2.155226, 39.762, 77.635, 26738, -5972, 00000000, 30.87315798401501
69, 2.186456, 38.787, 78.760, 26733, -5968, 00000000, 30.87315798401501
70, 2.217725, 38.028, 79.885, 26730, -5964, 00000000, 30.87315798401501
71, 2.249087, 37.269, 81.013, 26726, -5961, 00000000, 30.87315798401501
72, 2.280209, 36.294, 82.133, 26722, -5956, 00000000, 30.87315798401501
73, 2.311463, 35.318, 83.259, 26717, -5952, 00000000, 30.87315798401501
74, 2.342725, 34.668, 84.384, 26714, -5949, 00000000, 30.87315798401501
75, 2.373940, 34.018, 85.508, 26711, -5946, 00000000, 30.87315798401501
76, 2.405191, 33.476, 86.634, 26709, -5943, 00000000, 30.87315798401501
77, 2.436469, 33.042, 87.759, 26707, -5941, 00000000, 30.87315798401501
78, 2.467832, 32.500, 88.887, 26704, -5939, 00000000, 30.87315798401501
79, 2.498975, 32.175, 90.009, 26703, -5937, 00000000, 30.87315798401501
80, 2.530194, 31.633, 91.132, 26700, -5935, 00000000, 30.87315798401501
81, 2.561475, 31.308, 92.259, 26699, -5933, 00000000, 30.87315798401501
82, 2.592692, 30.766, 93.384, 26696, -5931, 00000000, 30.87315798401501
83, 2.623931, 30.658, 94.507, 26696, -5930, 00000000, 30.87315798401501
84, 2.655175, 30.549, 95.634, 26695, -5930, 00000000, 30.87315798401501
85, 2.686415, 30.549, 96.758, 26695, -5930, 00000000, 30.87315798401501
86, 2.717663, 30.549, 97.883, 26695, -5930, 00000000, 30.87315798401501
87, 2.748952, 30.549, 99.008, 26695, -5930, 00000000, 30.87315798401501
88, 2.780156, 30.549, 100.132, 26695, -5930, 00000000, 30.87315798401501
89, 2.811454, 30.549, 101.257, 26695, -5930, 00000000, 30.87315798401501
90, 2.842678, 30.549, 102.383, 26695, -5930, 00000000, 30.87315798401501
91, 2.873901, 30.549, 103.507, 26695, -5930, 00000000, 30.87315798401501
92, 2.905193, 30.549, 104.632, 26695, -5930, 00000000, 30.87315798401501
93, 2.936423, 30.549, 105.757, 26695, -5930, 00000000, 30.87315798401501
94, 2.967669, 30.549, 106.882, 26695, -5930, 00000000, 30.87315798401501
95, 2.998954, 30.549, 108.007, 26695, -5930, 00000000, 30.87315798401501
96, 3.030135, 30.549, 109.131, 26695, -5930, 00000000, 30.87315798401501
97, 3.061435, 30.549, 110.258, 26695, -5930, 00000000, 30.87315798401501
98, 3.092688, 30.549, 111.382, 26695, -5930, 00000000, 30.87315798401501
99, 3.123885, 30.549, 112.506, 26695, -5930, 00000000, 30.87315798401501
100, 3.155140, 30.549, 113.632, 26695, -5930, 00000000, 30.87315798401501
101, 3.186423, 30.549, 114.757, 26695, -5930, 00000000, 30.87315798401501
102, 3.217694, 30.549, 115.882, 26695, -5930, 00000000, 30.87315798401501
103, 3.248939, 30.549, 117.007, 26695, -5930, 00000000, 30.87315798401501
104, 3.280159, 30.549, 118.131, 26695, -5930, 00000000, 30.87315798401501
105, 3.311400, 30.549, 119.257, 26695, -5930, 00000000, 30.87315798401501
106, 3.342664, 30.549, 120.382, 26695, -5930, 00000000, 30.87315798401501
107, 3.373917, 30.549, 121.506, 26695, -5930, 00000000, 30.87315798401501
108, 3.405176, 30.549, 122.632, 26695, -5930, 00000000, 30.87315798401501
109, 3.436436, 30.549, 123.757, 26695, -5930, 00000000, 30.87315798401501
110, 3.467686, 30.549, 124.883, 26695, -5930, 00000000, 30.87315798401501
111, 3.498881, 30.549, 126.006, 26695, -5930, 00000000, 30.87315798401501
112, 3.530135, 30.549, 127.131, 26695, -5930, 00000000, 30.87315798401501
113, 3.561414, 30.549, 128.256, 26695, -5930, 00000000, 30.87315798401501
114, 3.592684, 30.549, 129.382, 26695, -5930, 00000000, 30.87315798401501
115, 3.623908, 30.549, 130.506, 26695, -5930, 00000000, 30.87315798401501
116, 3.655121, 30.549, 131.631, 26695, -5930, 00000000, 30.87315798401501
117, 3.686429, 30.549, 132.756, 26695, -5930, 00000000, 30.87315798401501
118, 3.717774, 30.549, 133.885, 26695, -5930, 00000000, 30.87315798401501
119, 3.748877, 30.549, 135.006, 26695, -5930, 00000000, 30.87315798401501
120, 3.780122, 30.549, 136.130, 26695, -5930, 00000000, 30.87315798401501
121, 3.811411, 30.549, 137.256, 26695, -5930, 00000000, 30.87315798401501
122, 3.842666, 30.549, 138.381, 26695, -5930, 00000000, 30.87315798401501
123, 3.873872, 30.549, 139.505, 26695, -5930, 00000000, 30.87315798401501
124, 3.905117, 30.549, 140.631, 26695, -5930, 00000000, 30.87315798401501
125, 3.936364, 30.549, 141.755, 26695, -5930, 00000000, 30.87315798401501
126, 3.967655, 30.549, 142.881, 26695, -5930, 00000000, 30.87315798401501
127, 3.998880, 30.549, 144.006, 26695, -5930, 00000000, 30.87315798401501
128, 4.030099, 30.549, 145.130, 26695, -5930, 00000000, 30.87315798401501
129, 4.061388, 30.549, 146.256, 26695, -5930, 00000000, 30.87315798401501
130, 4.092649, 30.549, 147.381, 26695, -5930, 00000000, 30.87315798401501
131, 4.123873, 30.549, 148.505, 26695, -5930, 00000000, 30.87315798401501
132, 4.155139, 30.549, 149.631, 26695, -5930, 00000000, 30.87315798401501
133, 4.186386, 30.549, 150.755, 26695, -5930, 00000000, 30.87315798401501
134, 4.217627, 30.549, 151.880, 26695, -5930, 00000000, 30.87315798401501
135, 4.248896, 30.549, 153.005, 26695, -5930, 00000000, 30.87315798401501
