1.074277, 145.221, 6.095, 0.0719, 500.000, 6.095, 500.000, 56.095
1.089998, 147.438, 6.255, 0.0719, 500.000, 6.255, 500.000, 56.255
1.105623, 149.655, 6.419, 0.0757, 500.000, 6.419, 500.000, 56.419
1.121248, 152.093, 6.606, 0.0776, 500.000, 6.606, 500.000, 56.606
1.136806, 154.531, 6.793, 0.0757, 500.000, 6.793, 500.000, 56.793
1.152380, 156.969, 6.980, 0.0776, 500.000, 6.980, 500.000, 56.980
1.168127, 159.406, 7.172, 0.0795, 500.000, 7.172, 500.000, 57.172
1.183744, 161.622, 7.349, 0.0795, 500.000, 7.349, 500.000, 57.349
1.199370, 163.838, 7.525, 0.0795, 500.000, 7.525, 500.000, 57.525
1.215001, 165.832, 7.686, 0.0813, 500.000, 7.686, 500.000, 57.686
1.230515, 168.269, 7.887, 0.0832, 500.000, 7.887, 500.000, 57.887
1.246228, 170.484, 8.071, 0.0832, 500.000, 8.071, 500.000, 58.071
1.261857, 172.699, 8.256, 0.0832, 500.000, 8.256, 500.000, 58.256
1.277483, 175.136, 8.462, 0.0851, 500.000, 8.462, 500.000, 58.462
1.293109, 177.350, 8.651, 0.0851, 500.000, 8.651, 500.000, 58.651
1.308658, 179.787, 8.861, 0.0870, 500.000, 8.861, 500.000, 58.861
1.324266, 181.779, 9.037, 0.0889, 500.000, 9.037, 500.000, 59.037
1.339976, 184.215, 9.256, 0.0908, 500.000, 9.256, 500.000, 59.256
1.355604, 186.428, 9.458, 0.0908, 500.000, 9.458, 500.000, 59.458
1.371228, 188.863, 9.682, 0.0927, 500.000, 9.682, 500.000, 59.682
1.386857, 191.076, 9.892, 0.0965, 500.000, 9.892, 500.000, 59.892
1.402384, 193.509, 10.130, 0.0984, 500.000, 10.130, 500.000, 60.130
1.418106, 195.943, 10.372, 0.1003, 500.000, 10.372, 500.000, 60.372
1.433731, 198.154, 10.595, 0.1003, 500.000, 10.595, 500.000, 60.595
1.449347, 200.587, 10.842, 0.1022, 500.000, 10.842, 500.000, 60.842
