1.514,4030,3885,190.974,-7.547,-0.07567,00000000
1.530,4035,3890,193.190,-7.716,-0.07567,00000000
1.546,4039,3895,195.185,-7.869,-0.07756,00000000
1.561,4044,3900,197.401,-8.041,-0.07756,00000000
1.577,4048,3904,199.174,-8.179,-0.07756,00000000
1.592,4052,3909,201.168,-8.336,-0.07945,00000000
1.608,4057,3914,203.384,-8.512,-0.07945,00000000
1.624,4061,3919,205.378,-8.673,-0.08135,00000000
1.640,4066,3924,207.594,-8.853,-0.08135,00000000
1.655,4070,3929,209.588,-9.018,-0.08324,00000000
1.671,4075,3934,211.803,-9.203,-0.08324,00000000
1.686,4079,3939,213.796,-9.371,-0.08513,00000000
1.702,4084,3944,216.011,-9.560,-0.08513,00000000
1.718,4088,3949,218.004,-9.732,-0.08702,00000000
1.733,4093,3954,220.219,-9.925,-0.08702,00000000
1.749,4098,3959,222.433,-10.118,-0.08702,00000000
1.765,4102,3964,224.426,-10.294,-0.08891,00000000
1.780,4107,3969,226.640,-10.491,-0.08891,00000000
1.796,4111,3975,228.853,-10.693,-0.09270,00000000
1.811,4116,3980,231.067,-10.899,-0.09270,00000000
1.827,4120,3985,233.059,-11.086,-0.09459,00000000
1.843,4125,3990,235.271,-11.296,-0.09459,00000000
1.858,4130,3995,237.484,-11.506,-0.09459,00000000
1.874,4134,4000,239.476,-11.696,-0.09648,00000000
1.889,4139,4005,241.688,-11.910,-0.09648,00000000
1.905,4143,4010,243.679,-12.105,-0.09837,00000000
1.921,4148,4015,245.891,-12.323,-0.09837,00000000
1.936,4152,4020,247.882,-12.522,-0.10026,00000000
1.952,4157,4025,250.094,-12.744,-0.10026,00000000
1.968,4161,4030,252.084,-12.946,-0.10216,00000000
1.983,4166,4035,254.295,-13.173,-0.10216,00000000
1.999,4170,4040,256.285,-13.379,-0.10405,00000000
2.014,4175,4045,258.496,-13.610,-0.10405,00000000
2.030,4179,4050,260.485,-13.819,-0.10594,00000000
2.046,4184,4055,262.696,-14.054,-0.10594,00000000
